Date ,Day of Week,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
27-Sep-24,Friday,September,Q3,2024,EQ,1485.00,1485.00,1452.45,1472.60,1455.95,1456.70,1464.19,1621.40,754.50,2694100.00,3944667724.45,111455.00
26-Sep-24,Thursday,September,Q3,2024,EQ,1456.85,1475.75,1448.00,1452.55,1474.10,1472.60,1462.10,1621.40,754.50,2066994.00,3022153950.90,89388.00
25-Sep-24,Wednesday,September,Q3,2024,EQ,1459.00,1464.00,1438.20,1456.65,1450.15,1452.55,1447.61,1621.40,754.50,1227806.00,1777384834.05,59713.00
24-Sep-24,Tuesday,September,Q3,2024,EQ,1456.15,1465.85,1447.00,1456.15,1458.00,1456.65,1455.10,1621.40,754.50,1537307.00,2236943027.20,70343.00
23-Sep-24,Monday,September,Q3,2024,EQ,1448.00,1458.95,1443.85,1438.70,1457.90,1456.15,1454.00,1621.40,754.50,1139915.00,1657442038.20,45678.00
20-Sep-24,Friday,September,Q3,2024,EQ,1418.95,1453.05,1409.20,1408.20,1441.00,1438.70,1435.87,1621.40,754.50,4407151.00,6328082681.90,155204.00
19-Sep-24,Thursday,September,Q3,2024,EQ,1433.00,1438.00,1394.45,1428.80,1410.90,1408.20,1410.00,1621.40,754.50,2072872.00,2922751327.75,109397.00
18-Sep-24,Wednesday,September,Q3,2024,EQ,1430.00,1439.25,1415.05,1426.60,1428.00,1428.80,1428.36,1621.40,754.50,1421406.00,2030279628.20,63378.00
17-Sep-24,Tuesday,September,Q3,2024,EQ,1442.80,1445.00,1420.10,1440.70,1428.50,1426.60,1428.29,1621.40,754.50,1321316.00,1887220057.75,68586.00
16-Sep-24,Monday,September,Q3,2024,EQ,1455.10,1461.15,1438.80,1452.10,1440.50,1440.70,1448.09,1621.40,754.50,1673805.00,2423824123.95,55293.00
13-Sep-24,Friday,September,Q3,2024,EQ,1472.95,1475.65,1450.00,1472.60,1451.55,1452.10,1457.25,1621.40,754.50,1683544.00,2453341570.35,81458.00
12-Sep-24,Thursday,September,Q3,2024,EQ,1444.00,1475.00,1440.20,1430.60,1468.55,1472.60,1460.68,1621.40,754.50,4003674.00,5848094977.85,168362.00
11-Sep-24,Wednesday,September,Q3,2024,EQ,1454.95,1457.85,1425.10,1453.40,1431.70,1430.60,1441.83,1621.40,754.50,1637596.00,2361130536.45,85430.00
10-Sep-24,Tuesday,September,Q3,2024,EQ,1439.00,1464.00,1435.00,1435.90,1449.00,1453.40,1451.93,1621.40,754.50,1542798.00,2240033934.20,78922.00
09-Sep-24,Monday,September,Q3,2024,EQ,1431.00,1441.60,1411.00,1442.40,1439.00,1435.90,1427.64,1621.40,754.50,1621371.00,2314732464.10,73544.00
06-Sep-24,Friday,September,Q3,2024,EQ,1465.60,1468.75,1427.55,1465.55,1442.00,1442.40,1442.65,1621.40,754.50,3340767.00,4819563515.30,117630.00
05-Sep-24,Thursday,September,Q3,2024,EQ,1476.75,1476.80,1463.00,1472.10,1465.00,1465.55,1467.49,1621.40,754.50,959956.00,1408721078.00,56018.00
04-Sep-24,Wednesday,September,Q3,2024,EQ,1472.00,1475.15,1461.05,1479.55,1473.40,1472.10,1469.92,1621.40,754.50,1122071.00,1649359208.35,63757.00
03-Sep-24,Tuesday,September,Q3,2024,EQ,1494.50,1498.10,1476.60,1494.50,1478.30,1479.55,1485.19,1621.40,754.50,882478.00,1310647610.70,51825.00
02-Sep-24,Monday,September,Q3,2024,EQ,1490.00,1499.50,1478.80,1481.90,1494.55,1494.50,1489.10,1621.40,754.50,2054244.00,3058967094.50,66290.00
30-Aug-24,Friday,August,Q3,2024,EQ,1480.95,1487.00,1466.00,1476.05,1482.00,1481.90,1476.75,1621.40,754.50,1996592.00,2948474397.45,87242.00
29-Aug-24,Thursday,August,Q3,2024,EQ,1472.05,1483.00,1452.60,1469.80,1481.00,1476.05,1469.38,1621.40,754.50,3359850.00,4936894499.65,142636.00
28-Aug-24,Wednesday,August,Q3,2024,EQ,1479.40,1486.40,1467.00,1478.35,1470.50,1469.80,1479.20,1621.40,754.50,1225101.00,1812174262.15,53059.00
27-Aug-24,Tuesday,August,Q3,2024,EQ,1484.90,1496.90,1475.60,1482.55,1479.50,1478.35,1483.60,1621.40,754.50,910064.00,1350169570.15,52380.00
26-Aug-24,Monday,August,Q3,2024,EQ,1495.50,1497.00,1480.00,1491.30,1481.00,1482.55,1485.34,1621.40,754.50,1087057.00,1614650953.55,46379.00
23-Aug-24,Friday,August,Q3,2024,EQ,1493.00,1503.00,1486.10,1492.30,1495.00,1491.30,1493.27,1621.40,754.50,1181075.00,1763663862.30,55601.00
22-Aug-24,Thursday,August,Q3,2024,EQ,1507.00,1509.50,1490.40,1503.50,1491.10,1492.30,1499.39,1621.40,754.50,1442064.00,2162220158.05,75566.00
21-Aug-24,Wednesday,August,Q3,2024,EQ,1499.10,1517.00,1492.55,1492.55,1502.95,1503.50,1505.56,1621.40,754.50,1551436.00,2335778138.60,64364.00
20-Aug-24,Tuesday,August,Q3,2024,EQ,1504.95,1510.00,1486.30,1496.45,1492.00,1492.55,1493.44,1621.40,754.50,990643.00,1479461802.95,46180.00
19-Aug-24,Monday,August,Q3,2024,EQ,1500.95,1507.00,1490.00,1493.45,1496.00,1496.45,1495.87,1621.40,754.50,1343387.00,2009527233.35,60241.00
16-Aug-24,Friday,August,Q3,2024,EQ,1471.20,1497.20,1457.05,1461.95,1490.00,1493.45,1477.78,1621.40,754.50,1985315.00,2933857487.05,91234.00
14-Aug-24,Wednesday,August,Q3,2024,EQ,1488.00,1488.00,1452.00,1483.45,1460.00,1461.95,1462.11,1621.40,754.50,2648057.00,3871739995.40,117146.00
13-Aug-24,Tuesday,August,Q3,2024,EQ,1505.85,1517.45,1479.50,1501.40,1482.00,1483.45,1495.83,1621.40,754.50,2485446.00,3717798494.10,98171.00
12-Aug-24,Monday,August,Q3,2024,EQ,1500.00,1524.25,1457.35,1533.80,1498.00,1501.40,1498.22,1621.40,754.50,9230512.00,13829353505.10,245831.00
09-Aug-24,Friday,August,Q3,2024,EQ,1541.50,1543.50,1519.00,1519.00,1532.00,1533.80,1530.43,1621.40,754.50,1503033.00,2300287764.75,68808.00
08-Aug-24,Thursday,August,Q3,2024,EQ,1538.00,1556.00,1513.80,1543.80,1520.00,1519.00,1534.37,1621.40,754.50,2468123.00,3787021449.00,112588.00
